amount,new_payee,on_call,typing_pause,typing_variance,device_movement,transaction_hour,previous_transactions,fraud
43170.46,1,0,4.91,0.16,0.7,13,51,0
36720.77,0,0,3.96,0.39,0.09,11,46,0
857.33,0,0,8.74,0.55,0.71,7,9,0
16407.06,0,1,8.03,0.15,0.6,22,36,1
6023.58,1,0,0.77,0.62,0.75,18,29,0
43186.94,0,1,7.92,0.76,0.58,21,91,1
49180.0,0,1,4.37,0.38,0.1,19,88,0
34631.36,0,0,6.18,0.29,0.6,21,41,0
41195.26,1,0,3.57,0.39,0.82,16,89,0
7886.19,1,0,9.14,0.59,0.22,7,60,0
28865.97,1,0,2.83,0.24,0.07,4,85,0
3920.76,0,0,9.38,0.35,0.29,17,17,0
16672.28,1,1,2.32,0.28,0.54,10,34,0
3932.47,0,0,4.09,0.84,0.82,16,70,1
12841.29,0,0,4.19,0.69,0.68,15,78,0
19823.44,0,0,8.29,0.09,0.45,12,65,0
27896.32,0,0,7.34,0.96,0.26,7,70,0
46721.78,1,0,6.34,0.43,0.76,17,68,1
39070.1,0,0,8.95,0.68,0.06,23,3,0
38429.6,0,0,2.57,0.57,0.31,9,83,0
10838.7,1,0,8.3,0.73,0.71,3,80,1
36445.71,0,0,8.07,0.95,0.43,15,10,0
22774.72,1,1,1.99,0.49,0.46,8,72,1
9141.05,0,0,3.14,0.57,0.45,1,24,0
39880.83,1,0,3.47,0.81,0.1,2,47,1
8234.65,0,0,8.37,0.98,0.18,1,75,0
1892.92,1,0,4.26,0.06,0.87,15,5,0
39102.61,0,0,7.01,0.4,0.59,21,1,0
3188.1,0,0,7.54,0.18,0.54,7,11,1
20583.74,0,0,3.24,0.3,0.13,15,35,0
22557.93,0,1,0.93,0.25,0.76,12,51,0
24677.52,0,0,4.01,0.55,0.2,9,20,0
40291.07,1,0,1.58,0.3,0.39,21,95,0
34016.89,0,0,3.98,0.71,0.23,21,92,0
17306.4,0,0,1.31,0.16,0.67,19,78,0
41320.63,0,1,4.03,0.2,0.75,4,21,1
33596.41,0,0,9.93,0.2,0.99,18,93,0
17655.07,1,0,6.42,0.99,0.78,19,9,1
21431.57,0,0,8.52,0.24,0.94,10,87,0
41181.33,0,0,0.26,0.83,0.09,0,74,0
49598.94,0,0,7.68,0.29,0.87,11,18,0
6385.16,1,0,8.48,0.36,0.69,16,53,0
30197.19,0,0,4.35,0.31,0.78,9,59,0
47158.79,0,0,6.56,0.29,0.67,12,21,0
6188.17,1,0,9.97,0.22,0.61,11,39,0
6406.68,0,0,8.09,0.85,0.51,1,64,0
33675.07,1,0,6.37,0.82,0.43,14,11,1
29641.64,0,0,3.69,0.57,0.85,23,13,0
40030.3,1,0,8.53,0.99,0.74,15,60,1
45023.18,1,0,6.83,0.95,0.33,12,15,1
10972.78,0,0,5.98,0.07,0.74,15,80,0
33286.29,0,0,1.43,0.14,0.84,14,43,0
32524.42,0,0,7.32,0.79,0.16,0,30,1
16204.06,0,0,1.01,0.82,0.9,19,34,0
44949.52,0,1,3.9,0.68,0.99,7,0,1
15814.43,0,0,9.87,0.47,0.56,15,98,0
44576.78,0,0,4.82,0.35,0.51,19,69,0
29655.84,0,0,7.41,0.68,0.16,19,19,0
37698.26,1,0,7.33,0.64,0.23,21,91,1
22207.38,0,1,2.04,0.17,0.97,15,25,0
14973.97,0,0,6.55,0.84,0.98,14,94,0
3428.02,0,0,9.33,0.55,0.31,5,45,0
29969.9,0,0,9.77,0.57,0.18,14,6,0
32084.18,0,0,7.05,0.58,0.39,20,36,0
1144.61,0,0,7.69,0.72,0.36,21,3,0
19857.27,1,0,4.18,0.94,0.29,22,27,0
29028.59,0,1,4.72,0.12,0.21,2,29,0
25015.22,0,0,9.42,0.88,0.48,18,46,0
30859.77,0,0,4.61,0.44,0.74,16,81,0
9962.2,0,0,5.3,0.16,0.87,0,0,0
8210.65,0,0,6.24,0.71,0.25,6,93,0
18245.9,0,0,2.62,0.33,0.55,10,26,0
29679.27,0,0,8.8,0.58,0.88,3,36,1
4122.71,1,0,5.91,0.84,0.13,10,65,0
31541.65,1,0,2.84,0.94,0.17,22,89,1
8939.96,1,0,4.11,0.54,0.6,4,29,0
33645.31,0,1,9.51,0.07,0.98,20,75,1
40737.9,0,0,4.45,0.66,0.41,21,17,0
30013.11,1,0,2.24,0.47,0.1,10,67,0
10050.64,0,0,0.77,0.26,0.94,9,24,0
22324.79,0,0,8.68,0.21,0.44,18,48,0
28623.22,0,0,6.08,0.78,0.55,9,38,0
18753.02,0,0,1.52,0.76,0.28,2,5,0
19316.62,1,1,8.85,0.31,0.23,14,3,0
465.97,0,0,5.25,0.99,0.24,13,76,0
5765.68,1,0,8.24,0.91,0.55,11,0,1
16586.53,0,0,4.57,0.94,0.98,13,77,0
12367.79,0,1,6.87,0.95,0.19,12,42,0
27781.12,0,0,6.74,0.66,0.44,14,8,0
20830.61,0,0,1.85,0.14,0.96,7,5,0
36459.95,0,0,2.45,0.14,0.22,14,81,0
33909.54,0,0,9.23,0.12,0.32,22,74,0
42203.38,0,0,9.62,0.74,0.52,0,50,1
37010.18,0,0,2.03,0.82,0.31,0,18,0
26142.03,0,0,9.58,0.9,0.67,7,79,0
33820.49,0,0,0.69,0.65,0.78,12,45,0
652.82,1,0,4.4,0.17,0.44,5,22,0
15211.21,1,0,5.93,0.94,0.38,14,96,0
32829.58,0,0,2.32,0.12,0.84,18,41,0
23704.07,0,0,3.37,0.76,0.44,20,89,0
25707.44,0,0,3.24,0.92,0.11,8,65,0
14480.41,0,0,2.93,0.75,0.07,13,65,0
47079.56,0,0,1.01,0.64,0.57,23,34,0
44839.08,0,0,8.63,0.6,0.9,1,92,1
40527.04,0,0,9.14,0.59,0.22,1,79,0
10012.36,0,0,5.6,0.61,0.46,8,47,0
8948.6,1,0,7.18,0.6,0.06,8,94,0
791.72,0,0,8.01,0.94,0.07,2,51,0
35380.06,0,1,8.87,0.83,0.07,12,73,1
10499.14,0,0,3.27,0.1,0.18,10,98,0
45170.86,0,0,4.22,0.39,0.92,8,51,0
25659.51,0,1,6.24,0.81,0.13,13,89,1
39116.36,1,0,9.66,0.42,0.17,1,24,1
36492.56,0,0,5.09,0.35,0.46,21,83,0
37286.22,0,0,2.76,0.24,0.79,23,67,0
39773.4,0,0,1.52,0.67,0.66,18,48,0
3215.32,0,0,2.56,0.35,0.82,9,16,0
15193.07,1,1,7.67,0.19,0.71,22,5,1
34158.77,0,0,6.49,0.54,0.16,1,27,0
40139.56,1,0,9.53,0.36,0.68,7,50,1
47292.91,0,1,1.4,0.72,0.75,23,67,1
31286.49,0,0,8.61,0.96,0.26,6,43,0
9807.3,1,0,6.4,0.43,0.6,16,98,1
39673.85,1,1,9.35,0.43,0.5,15,60,1
18212.84,1,0,1.21,0.44,0.89,14,78,0
48074.69,0,0,2.78,0.29,0.94,8,97,0
38797.71,0,0,0.21,0.57,0.98,14,77,0
17270.17,0,0,8.81,0.53,0.53,5,13,0
49138.7,0,0,6.67,0.62,0.44,20,60,0
39274.69,0,1,6.52,0.45,0.49,22,1,1
46548.12,0,0,3.18,0.85,0.3,15,50,0
2831.16,0,0,2.27,0.05,0.92,21,21,0
41129.18,1,0,8.77,0.74,0.27,0,87,1
15454.37,0,0,7.47,0.73,0.27,22,99,0
45900.26,0,0,7.53,0.31,0.64,23,17,0
22664.9,1,0,8.17,0.88,0.78,21,29,1
38924.51,0,1,4.88,0.99,0.77,21,64,1
44336.48,0,1,2.74,0.56,0.87,14,75,0
47706.71,0,0,9.05,0.12,0.99,21,23,0
26925.47,0,0,0.71,0.26,0.4,21,74,0
45274.42,0,0,1.16,0.96,0.11,22,16,0
15799.98,0,1,9.17,0.73,0.32,11,97,0
45480.53,0,1,5.49,0.12,0.96,20,52,1
7036.21,0,0,2.2,0.16,0.84,10,16,0
40999.28,1,0,2.91,0.32,0.41,3,77,0
27273.31,0,0,1.76,0.34,0.53,5,21,0
36999.51,0,0,5.52,0.13,0.41,12,96,0
2086.59,0,1,9.54,0.38,0.09,12,54,0
19671.67,1,0,7.66,0.15,0.98,22,79,0
38784.2,0,0,2.0,0.19,0.94,22,70,0
44384.7,0,1,0.78,0.37,0.35,5,9,0
7510.49,0,1,3.88,0.18,0.24,14,41,0
28263.33,1,0,5.31,0.77,0.73,13,58,1
40066.84,0,0,8.85,0.38,0.7,21,62,0
28831.71,1,0,3.67,0.13,0.24,23,39,0
10432.15,0,0,8.5,0.43,0.28,23,8,0
17207.66,0,0,5.86,0.73,0.28,17,54,0
14190.16,0,1,7.32,0.34,0.62,16,72,0
44522.81,0,0,5.07,0.6,0.6,11,8,0
15770.79,0,0,8.74,0.13,0.51,13,91,0
31249.61,1,0,9.18,0.58,0.33,11,48,1
15678.38,1,0,8.35,0.99,0.8,21,6,1
17027.09,0,0,7.47,0.47,0.07,21,79,0
19434.58,0,0,6.23,0.51,0.68,13,42,0
5730.88,0,0,0.37,0.41,0.15,3,25,0
47861.03,0,0,8.99,0.55,0.72,23,97,0
33369.9,0,0,0.63,0.07,0.39,12,22,0
19445.99,0,0,8.58,0.94,0.52,7,65,0
42792.0,0,0,9.37,0.54,0.52,3,21,0
5496.94,1,0,3.33,0.23,0.58,18,5,1
10428.98,1,0,3.63,0.7,0.31,2,68,0
35359.55,0,0,2.05,0.25,0.09,20,10,0
35246.33,1,0,3.13,0.3,0.71,5,33,0
2736.05,1,0,3.1,0.56,0.59,3,41,0
8396.14,0,0,9.7,0.74,0.93,16,73,0
29626.68,0,0,6.27,0.62,0.52,7,10,0
6904.88,1,1,2.65,0.79,0.42,13,53,0
37522.69,1,0,0.79,0.9,0.42,8,0,1
36262.34,1,1,3.23,0.86,0.09,5,16,1
31213.61,0,0,6.76,0.37,0.22,6,87,0
23821.75,1,0,4.62,0.85,0.16,9,51,0
18961.9,1,0,7.94,0.43,0.45,22,92,0
35981.87,0,1,2.58,0.15,0.42,19,34,0
43053.87,0,0,3.57,0.64,0.89,20,9,0
20271.66,1,1,5.69,0.54,0.32,3,41,1
31575.44,0,0,7.6,0.32,0.35,23,33,0
2905.59,0,1,6.14,0.57,0.29,2,89,0
25813.73,0,0,9.07,0.76,0.56,4,85,1
34776.43,0,0,8.52,0.38,0.08,8,31,0
8113.63,0,0,7.22,0.31,0.35,14,6,0
38043.96,0,0,1.92,0.77,0.5,10,25,0
47216.02,1,0,2.6,0.47,0.85,12,22,0
47609.57,0,1,8.4,0.82,0.35,11,11,1
19168.43,0,0,5.1,0.43,0.65,23,98,0
6771.41,1,0,9.42,0.69,0.4,9,37,0
13850.78,0,0,7.68,0.93,0.24,14,37,0
15584.33,0,0,2.11,0.96,0.92,15,35,0
48833.22,0,1,4.4,0.88,0.22,2,62,1
32713.98,0,0,4.94,0.18,0.28,9,79,0
3017.05,0,0,1.76,0.39,0.43,23,34,0
28903.08,0,0,3.46,0.81,0.12,8,67,0
25281.4,0,0,6.65,0.09,0.4,7,47,0
21094.75,0,1,7.2,0.6,0.81,14,26,1
22898.71,0,0,9.67,0.71,0.13,17,48,0
5646.43,0,0,8.75,0.26,0.2,19,78,0
41152.88,0,0,5.08,0.85,0.67,12,17,0
8866.04,0,0,9.74,0.24,0.06,20,67,0
18855.04,1,0,4.62,0.36,0.1,9,9,0
35512.6,1,0,1.06,0.73,0.32,20,29,0
2064.16,0,0,1.43,0.49,0.63,5,42,0
1452.62,1,0,7.64,0.9,0.46,16,35,0
23901.47,0,1,8.95,0.37,0.63,15,55,1
46556.83,0,0,8.92,0.3,0.5,14,69,0
47611.98,1,0,5.92,0.83,0.42,7,66,1
36527.09,0,0,0.84,0.16,0.88,23,54,0
35672.83,0,0,3.54,0.8,0.64,18,82,0
34017.27,0,0,9.43,0.8,0.07,1,62,1
34448.09,1,0,8.69,0.96,0.27,6,35,1
4939.24,0,0,0.67,0.85,0.11,3,50,0
5277.44,0,0,6.71,0.18,0.86,10,98,0
781.72,1,0,2.47,0.08,0.37,2,85,0
39852.58,0,0,1.96,0.76,0.27,6,85,0
22331.34,1,0,8.65,0.18,0.59,11,71,1
29196.98,1,0,1.02,0.49,0.42,8,71,0
48340.04,1,0,3.55,0.9,0.97,11,65,1
26352.09,0,0,7.39,0.1,0.1,23,88,0
17738.31,0,0,3.28,0.23,0.34,11,17,0
38990.32,0,0,7.88,0.43,0.05,18,33,0
3298.33,0,0,2.19,0.85,0.08,17,31,0
10957.64,0,1,0.82,0.24,0.38,6,12,0
27285.57,0,0,2.46,0.25,0.44,9,8,0
10950.9,0,0,9.77,0.96,0.81,4,39,0
35858.65,0,0,4.38,0.14,0.76,12,26,0
32259.8,0,0,6.39,0.99,0.79,1,51,1
8883.64,1,0,1.46,0.87,0.83,11,87,0
45496.21,1,0,1.13,0.59,0.55,9,96,0
19899.79,0,0,0.12,0.3,0.54,6,55,0
27389.37,1,0,0.37,0.48,0.33,5,40,0
6318.21,0,0,4.52,0.58,0.33,12,10,0
8261.33,0,0,3.09,0.9,0.65,14,92,0
25027.46,1,0,8.09,0.29,0.83,21,36,1
21807.23,0,0,1.42,0.71,0.81,0,15,0
5305.22,0,1,5.33,0.49,0.15,22,91,0
43413.18,1,0,0.85,0.16,0.1,6,41,0
44980.68,0,0,8.23,0.97,0.48,15,94,0
28651.38,1,1,1.79,0.46,0.49,23,63,1
30184.35,0,1,0.84,0.26,0.44,5,45,0
1180.11,0,0,8.81,0.54,0.56,6,0,0
45599.75,0,0,3.69,0.84,0.72,9,68,0
42930.69,0,0,9.47,0.31,0.43,20,48,0
16977.73,1,1,6.65,0.83,0.76,5,25,1
15851.86,0,0,0.49,0.62,0.88,12,79,0
23019.25,0,0,8.23,0.28,0.45,13,88,0
43868.31,0,0,2.01,0.15,0.92,20,63,0
36064.18,0,0,6.36,0.55,0.6,9,28,0
36399.87,1,0,4.07,0.95,0.43,15,27,0
5563.6,0,1,5.46,0.32,1.0,12,89,0
22092.88,0,1,7.18,0.7,0.9,9,35,1
14261.52,0,0,7.62,0.64,0.12,9,51,0
17230.72,0,0,3.29,0.79,0.12,17,86,0
40478.82,0,0,9.51,0.33,0.07,0,93,0
10574.91,1,0,2.26,0.64,0.1,12,64,0
830.89,1,1,2.3,0.25,0.77,18,53,0
44764.32,0,0,8.34,0.52,0.92,4,98,1
8354.47,0,1,9.07,0.1,0.84,6,2,1
13022.18,1,0,9.48,0.25,0.63,3,19,0
22698.88,1,0,3.09,0.23,0.34,21,35,0
7279.01,0,0,7.98,0.18,0.17,10,52,0
27294.62,0,0,1.73,0.17,0.4,1,20,0
10993.33,0,0,1.12,0.21,0.46,18,72,0
21296.69,0,0,0.17,0.49,0.7,6,57,0
12256.38,1,0,7.83,0.91,0.41,11,28,0
21564.12,0,0,7.65,0.94,0.94,16,68,1
43749.71,1,0,0.77,0.3,0.92,17,77,0
17541.19,0,0,6.84,0.33,0.48,16,43,0
44917.51,1,1,8.7,0.22,0.09,9,81,1
45638.99,0,0,8.07,0.12,0.44,0,91,0
11916.2,0,0,6.34,0.99,0.38,9,31,0
36744.07,0,0,7.84,0.24,0.3,8,25,0
20031.67,0,0,7.12,0.91,0.18,22,8,0
1024.71,0,0,7.3,0.8,0.28,12,68,0
22349.74,1,0,1.82,0.39,0.66,6,69,0
29153.65,0,0,6.39,0.87,0.38,16,41,0
40699.08,1,0,9.11,0.2,0.65,19,45,1
32221.62,0,0,3.52,0.21,0.64,1,56,0
47958.3,0,0,6.68,0.38,0.07,18,86,0
47280.19,0,0,5.3,0.24,0.76,8,32,0
22190.42,1,0,8.15,0.61,0.25,4,91,1
3558.46,0,0,7.42,0.08,0.56,0,17,0
10292.4,0,0,9.96,0.51,0.51,5,1,0
45846.12,1,0,7.22,0.61,0.52,9,16,1
23250.42,0,1,3.42,0.95,0.56,2,13,1
27192.73,0,0,1.08,0.64,0.47,20,54,0
11101.48,0,0,9.27,0.72,0.45,5,2,0
4302.23,1,0,2.93,0.61,0.15,6,72,0
8821.77,0,0,7.2,0.79,0.69,17,11,0
4023.47,0,0,9.88,0.42,0.75,22,57,0
10682.85,0,0,4.17,0.27,0.07,9,48,0
48283.93,0,0,0.17,0.7,0.83,2,77,0
37126.92,0,0,6.37,0.9,0.64,20,64,0
20077.8,1,0,7.74,0.51,0.9,7,2,1
41294.19,1,0,8.07,0.86,0.32,10,68,1
2588.02,0,0,5.8,0.66,0.07,10,86,0
12963.15,1,0,0.59,0.62,0.37,19,44,0
45169.22,1,1,6.71,0.17,0.78,5,40,1
7554.14,0,0,8.74,0.63,0.2,18,34,0
25966.44,0,0,2.61,0.81,0.83,20,83,0
25143.29,0,0,1.41,0.57,0.57,17,75,0
14915.09,0,1,9.18,0.78,0.13,11,8,0
5184.4,0,0,9.61,0.91,0.71,16,62,0
13780.79,0,0,8.04,0.42,0.45,4,59,0
14527.92,0,0,4.59,0.86,0.6,0,24,0
9664.4,0,0,3.65,0.55,0.61,20,55,0
23647.94,0,1,8.34,0.43,0.37,21,16,1
45896.86,1,0,5.32,0.58,0.98,23,84,1
5402.67,1,0,4.53,0.25,0.71,2,15,0
27630.45,0,0,9.66,0.41,0.3,8,5,0
22942.45,1,0,7.12,0.07,0.45,5,96,1
36166.16,1,1,5.88,0.49,0.83,21,70,1
17691.21,1,0,9.07,0.17,0.22,7,35,0
4188.73,0,1,9.77,0.41,0.93,17,17,0
45743.26,0,0,0.48,0.74,0.55,20,91,0
295.53,1,1,7.89,0.53,0.34,11,14,1
14305.27,0,0,5.44,0.12,0.07,14,3,0
34999.3,0,1,5.38,0.5,0.98,7,28,1
5988.5,1,0,0.37,0.43,0.99,10,62,0
33664.95,0,0,5.1,0.7,0.24,9,42,0
49781.39,0,0,9.24,0.07,0.74,4,3,1
3177.56,0,0,5.71,0.67,0.34,7,80,0
41838.34,0,0,5.66,0.21,0.24,1,14,0
29715.47,0,0,9.7,0.07,0.81,13,69,0
14930.98,0,0,7.0,0.66,0.79,14,78,0
34627.18,0,0,8.44,0.25,0.12,6,22,0
44710.96,0,0,7.7,0.93,0.51,13,81,0
39468.36,0,1,6.96,0.28,0.94,0,48,1
13470.34,0,0,0.25,0.79,0.39,7,91,0
40487.54,0,0,1.85,0.96,0.12,11,24,0
28970.34,1,0,1.83,0.41,0.85,15,10,0
21032.13,0,0,2.23,0.26,0.74,8,47,0
20816.27,0,0,0.2,0.14,0.58,6,78,0
16940.1,0,0,5.54,0.64,0.68,14,77,0
10851.6,0,1,1.65,0.98,0.85,1,75,0
49072.93,0,0,6.42,0.38,0.93,1,92,1
27515.65,0,0,2.63,0.4,0.85,11,18,0
25493.37,0,0,4.5,0.18,0.15,7,56,0
4348.67,0,0,9.65,0.73,0.99,17,24,0
14760.34,0,0,3.78,0.07,0.72,6,34,0
38917.68,0,0,3.82,0.4,0.55,11,16,0
44443.24,0,0,3.23,0.38,0.23,12,20,0
15796.75,0,0,7.11,0.39,0.12,14,45,0
22172.54,0,0,6.86,0.88,0.28,10,61,0
26950.92,0,0,7.47,0.21,0.23,3,29,0
33274.42,0,0,6.39,0.82,0.83,6,21,1
20765.16,0,0,9.99,0.22,0.06,22,61,0
48424.11,0,0,9.46,0.69,0.11,23,43,0
12088.23,0,0,5.86,0.39,0.21,14,32,0
41527.12,0,0,9.36,0.92,0.25,12,84,0
29114.55,1,0,1.15,0.21,0.71,18,98,0
44613.74,1,0,9.92,0.3,0.84,21,7,1
20741.91,1,0,9.91,0.31,0.52,15,7,1
22086.1,1,0,8.84,0.24,0.88,16,79,1
44441.1,0,0,5.17,0.94,0.1,11,59,0
42842.94,0,0,4.31,0.42,0.92,17,78,0
25305.27,1,0,0.68,0.3,0.46,4,81,0
19423.58,1,0,1.89,0.75,0.29,11,91,0
30931.55,0,0,9.55,0.88,0.72,21,63,1
12694.85,0,0,1.53,1.0,0.64,0,30,0
14479.41,0,0,1.04,0.08,0.52,23,6,1
3217.74,1,0,6.88,0.98,0.71,16,58,1
13475.55,1,0,5.43,0.12,0.94,3,62,1
32931.7,1,0,9.69,0.73,0.93,4,16,1
5941.51,0,0,5.97,0.51,0.64,18,46,0
9822.54,0,1,3.9,0.45,0.73,11,9,0
35328.66,0,0,4.49,0.9,0.44,6,80,0
48151.6,0,1,8.43,0.08,0.68,3,99,1
28024.88,0,0,9.24,0.25,0.88,1,70,1
4634.74,1,0,7.5,0.25,0.56,1,67,0
10668.73,1,0,0.76,1.0,0.07,18,70,0
18331.81,1,0,9.03,0.93,0.06,6,82,0
33498.84,1,0,6.11,0.23,0.81,4,60,1
13503.09,0,0,5.64,0.53,0.19,10,96,0
15932.72,0,0,2.66,0.07,0.32,16,54,0
179.9,0,1,5.98,0.63,0.43,21,4,0
9577.65,1,0,6.59,0.37,0.76,6,83,0
22672.42,0,0,9.75,0.83,0.11,7,87,0
25201.88,0,1,8.75,0.53,0.47,16,90,1
35979.07,0,0,3.63,0.22,0.71,18,62,0
24195.64,0,1,0.39,0.78,0.91,7,48,1
27579.46,1,0,5.25,0.5,0.3,5,99,1
46834.85,0,1,7.66,0.29,0.08,5,49,1
36451.85,0,0,5.07,0.74,0.16,5,98,0
27087.27,1,0,8.1,0.71,0.58,6,70,1
20659.69,0,0,5.29,0.66,0.37,22,9,0
22545.22,1,0,5.0,0.9,0.3,14,91,1
44823.21,0,1,0.98,0.87,0.35,23,1,1
12044.55,0,0,3.27,0.18,0.33,1,0,0
40437.06,0,0,3.13,0.12,0.94,19,81,0
39655.36,0,0,8.75,0.09,0.84,22,76,0
30412.84,0,1,0.53,0.3,0.88,10,50,0
980.49,0,0,4.07,0.33,0.7,2,9,0
39527.56,0,0,8.05,0.58,0.75,18,0,1
17840.94,1,0,5.76,0.76,0.41,8,21,0
23021.37,1,1,5.5,0.68,0.91,3,8,1
11680.72,1,1,8.58,0.44,0.13,14,6,1
23483.23,0,1,8.9,0.76,0.08,21,61,1
962.67,0,1,4.79,0.05,0.06,9,23,0
7834.93,0,0,1.86,0.89,0.47,15,32,0
38236.15,1,0,8.55,0.75,0.89,8,59,1
37405.1,1,0,1.23,0.54,0.61,23,22,0
48148.29,0,0,9.16,0.49,0.11,0,50,0
30131.13,0,1,5.49,0.58,0.54,20,78,1
13288.56,0,0,8.09,0.1,0.62,18,41,0
849.62,0,0,1.47,0.45,0.57,14,3,0
13793.14,0,0,9.42,0.87,0.59,6,60,0
16714.54,0,0,6.91,0.3,0.29,22,16,0
26388.18,0,0,2.27,0.49,0.46,16,72,0
21373.28,0,0,7.76,0.1,0.06,19,47,0
23909.6,0,0,9.33,0.87,0.72,22,75,1
26064.15,1,1,2.23,0.82,0.24,9,15,1
33837.04,0,1,0.98,0.54,0.92,13,68,0
7910.81,0,0,1.68,0.97,0.92,17,73,0
37287.55,0,0,8.39,0.34,0.53,5,77,0
42768.41,0,0,6.93,0.62,0.15,10,79,0
13831.99,1,0,0.81,0.91,0.96,9,40,0
10111.54,1,0,3.13,0.19,0.3,8,76,0
36668.63,0,0,2.92,0.5,0.22,21,39,0
35238.36,0,0,0.84,0.56,0.86,14,74,0
46839.4,0,1,4.88,0.68,0.54,17,19,0
19240.01,0,1,8.09,0.05,0.35,18,71,0
1985.45,0,0,0.62,0.27,0.81,18,8,0
24205.01,0,1,2.09,0.25,0.33,10,51,0
19030.34,1,0,4.18,0.94,0.1,20,51,0
28337.84,0,0,4.09,0.67,0.71,5,76,0
25628.37,0,0,4.51,0.1,0.59,1,9,0
37883.74,0,0,5.42,0.05,0.12,0,16,0
44123.53,0,0,9.74,0.8,0.28,10,7,0
4746.05,0,1,6.45,0.44,0.33,10,48,0
26613.86,0,1,6.46,0.33,0.17,13,93,1
18172.86,0,0,2.07,0.62,0.11,23,43,0
21858.74,1,1,7.74,0.09,0.23,19,32,1
46747.62,1,1,3.1,0.46,0.5,15,47,1
42745.49,1,0,6.97,0.2,0.9,14,81,0
45587.69,0,0,0.48,0.23,0.84,6,82,0
17597.07,0,0,0.1,0.28,0.25,2,72,0
40314.7,0,0,5.09,0.87,0.28,18,63,0
37407.83,0,1,9.6,0.8,0.62,12,78,1
2099.45,1,0,1.61,0.68,0.32,19,74,0
41822.32,0,0,5.42,0.68,0.79,10,63,0
997.61,1,0,6.91,0.8,0.81,16,24,1
22433.74,1,0,4.73,0.31,0.49,15,32,0
22810.7,0,0,4.66,0.06,0.32,15,13,0
31726.47,0,0,3.94,0.28,0.93,22,71,1
21678.61,0,0,5.09,0.22,0.6,0,89,0
36940.95,0,0,4.38,0.51,0.67,23,87,0
26255.32,0,0,9.95,0.51,0.77,0,16,1
2254.2,0,0,8.4,0.67,0.31,5,75,0
10149.82,1,0,2.69,0.11,0.08,9,9,0
44086.14,0,0,9.19,0.44,0.23,19,55,0
15620.73,0,0,7.04,0.16,0.78,7,43,0
39235.56,0,0,7.68,0.12,0.5,17,81,0
14205.1,0,0,1.71,0.51,0.75,12,8,0
49207.53,1,0,6.6,0.5,0.59,1,95,1
31235.58,0,1,5.11,0.12,0.34,18,96,1
12039.02,0,1,5.88,0.53,0.35,5,72,0
29090.33,1,0,6.33,0.71,0.73,20,55,1
6688.56,1,0,9.06,0.83,0.38,20,90,0
17883.89,0,1,6.56,0.48,0.43,16,67,0
20537.09,1,0,2.36,0.93,0.61,16,69,0
30293.06,0,0,5.1,0.22,0.82,22,67,0
6640.89,1,1,9.48,0.4,0.18,9,77,1
45762.66,0,0,4.44,0.77,0.45,6,87,0
45136.44,1,0,8.56,0.79,0.15,4,56,1
5148.07,0,0,9.74,0.47,0.56,21,91,0
48605.47,1,0,9.48,0.45,0.06,6,9,1
27239.51,0,0,6.17,0.88,0.68,14,1,1
40989.45,1,0,5.37,0.32,0.09,6,62,1
26815.01,0,0,4.46,0.84,0.93,10,73,0
19807.76,0,1,9.83,0.93,0.8,10,69,1
40868.32,0,0,7.47,0.13,0.1,19,77,0
22337.38,1,0,1.32,0.19,0.08,9,80,0
15142.66,0,0,6.1,0.59,0.1,0,40,0
25253.1,0,0,9.49,0.85,0.74,5,88,1
3306.21,0,0,8.97,0.67,0.38,17,1,0
40100.81,0,0,3.8,0.69,0.12,17,2,0
35723.66,0,0,1.6,0.47,0.78,10,19,0
3413.63,1,0,6.58,0.47,0.95,21,75,0
26651.13,0,0,0.77,0.23,0.25,11,45,0
28850.35,0,0,0.66,0.13,0.99,15,6,0
46107.18,0,1,1.51,0.53,0.84,22,16,0
25677.55,0,0,4.76,0.72,0.94,4,45,0
2205.8,0,0,1.77,0.77,0.99,12,25,0
9935.59,1,0,4.59,0.56,0.86,16,39,0
18723.05,0,0,1.97,0.91,0.69,11,71,0
5064.86,0,0,0.88,0.55,0.43,18,6,0
4552.19,0,0,9.87,0.58,0.7,10,30,0
4827.47,1,0,4.3,0.67,0.07,13,46,0
28043.68,1,1,1.37,0.07,0.71,8,49,1
31336.6,0,0,5.09,0.61,0.54,2,57,0
16703.43,0,0,4.39,0.39,0.54,18,20,1
34426.71,1,0,2.01,0.16,0.64,14,68,0
9481.98,0,0,5.59,0.55,0.75,9,46,0
44404.86,1,0,1.92,0.46,0.83,0,2,1
26070.76,1,0,0.45,0.92,0.79,16,13,1
37705.15,1,0,8.44,0.77,0.21,4,42,1
9835.93,1,0,6.8,0.52,0.14,22,59,0
49188.22,1,0,9.96,0.85,0.63,13,43,1
18734.89,0,1,6.54,0.63,0.37,4,69,0
15492.61,0,0,7.02,0.86,0.18,8,94,0
499.61,0,0,7.28,0.13,0.73,12,96,0
43897.88,1,1,8.85,0.94,0.87,12,60,1
8595.93,0,0,6.08,0.53,0.87,7,78,0
27189.62,1,0,1.38,0.58,0.95,3,38,0
16414.41,0,1,8.39,1.0,0.07,22,81,0
41046.76,0,0,7.89,0.1,0.4,8,50,0
47959.7,1,0,7.26,0.31,0.85,1,70,1
13684.8,0,1,1.57,0.48,0.52,20,38,0
9867.73,1,1,2.99,0.88,0.78,19,92,1
